1,572;6,9;-0,034;78,55;7,14;6,09;10,86;9,44;0,55;0,99;0,63;2,36;11;4;10;3;3;0;0;7;3;12;11,605;9;8,333;1,099;1,2;1,316;0,954;8,333;5,927;4,5;0,456;36;34,494;15;13,444;2,894;2,039;9;1,5;3,75;4,5;9;-2,249;1;0;12;4;9
1,887;7,76;-0,043;112,99;10,27;6,79;11,18;13,06;0,62;1,02;0,71;2,61;11;5;10;4;4;0;0;6;3;16;15,21;14;12,889;1,792;1,304;1,431;0,747;10,667;9,757;7,2;0,436;68;63,432;36;30,37;4,301;2,804;18;1,8;5,222;6,667;18;-3,489;1,542;0;28;5,667;18
1,496;5,23;0,032;173,83;34,77;4,36;5,23;7;0,87;1,05;1,05;2,33;5;3;4;2;2;0;0;2;1;6;4,134;4;1,037;0,693;1,2;1,26;1,201;5,5;2,89;2,667;0,577;16;9,69;6;1,171;1,655;1,177;4;1,333;2,25;2,5;4;-1,409;1,333;0;5;2,333;4
1,801;6,99;-0,132;187,86;23,48;5,96;8,11;8,5;0,75;1,01;0,87;2,13;8;4;7;3;3;0;0;4;2;10;8,134;8;5,037;1,386;1,333;1,414;0,849;7,5;6,356;5;0,527;38;27,246;19;7,313;3,161;1,893;10;1,667;3,611;4,333;10;-2,499;1,707;0;15;3,833;10
1,864;7,4;-0,076;123;11,18;6,48;10,76;7,75;0,59;0,98;0,67;1,94;11;4;10;3;3;0;0;7;3;10;9,067;8;6,519;1,386;1,333;1,414;0,849;7,75;6,356;5;0,527;38;32,623;19;12,333;3,161;1,893;10;1,667;3,611;4,333;10;-2,499;1,707;0;15;3,833;10
1,717;7,4;-0,103;123;11,18;6,48;10,76;8,08;0,59;0,98;0,67;2,02;11;4;10;3;3;0;0;7;3;12;11,067;9;6,778;1,099;1,2;1,316;0,954;7,75;5,927;4,5;0,456;36;31,364;15;9,815;2,894;2,039;9;1,5;3,75;4,5;9;-2,249;1;0;12;4;9
0,775;3,32;0,038;68,48;13,7;3,01;5,6;13,61;0,6;1,12;0,66;4,54;5;3;4;2;2;0;0;2;1;6;53,605;4;15,556;0,693;1,2;1,26;1,201;7,833;2,89;2,667;0,577;16;80,938;6;26,444;1,655;1,177;4;1,333;2,25;2,5;4;-1,409;1,333;0;5;2,333;4
1,284;4,73;0,005;129,38;25,88;3,98;5,32;8,36;0,8;1,06;0,95;2,79;5;3;4;2;2;0;0;2;1;6;4,672;4;2,074;0,693;1,2;1,26;1,201;6,083;2,89;2,667;0,577;16;11,783;6;2,477;1,655;1,177;4;1,333;2,25;2,5;4;-1,409;1,333;0;5;2,333;4
1,821;5,59;-0,045;163,82;32,76;4,68;5,64;12,31;0,94;1,13;1,12;3,08;5;4;4;3;3;0;0;1;1;12;10,277;9;5,444;1,099;1,2;1,316;0,954;8,417;5,927;4,5;0,456;36;28,351;15;7,461;2,894;2,039;9;1,5;3,75;4,5;9;-2,249;1;0;12;4;9
2,025;6,09;-0,012;208,27;41,65;5,07;5,55;10,94;1,01;1,11;1,22;2,74;5;4;4;3;3;0;0;1;1;12;9,739;9;3,889;1,099;1,2;1,316;0,954;7,833;5,927;4,5;0,456;36;25,221;15;4,83;2,894;2,039;9;1,5;3,75;4,5;9;-2,249;1;0;12;4;9
